"","Date","dayOfweek","dinnerTime","cuisine","feeling","bedTime"
"1",2021-01-14,"Thursday",17.25,"Chinese","Medium",21.33
"2",2021-01-15,"Friday",18,"Italian","VeryFull",23.25
"3",2021-01-16,"Saturday",17.5,"American","VeryFull",25.33
"4",2021-01-17,"Sunday",17,"Vietnamese","Medium",21.33
"5",2021-01-18,"Monday",16.25,"American","Full",21.58
"6",2021-01-19,"Tuesday",16.5,"Vietnamese","Light",21.5
"7",2021-01-20,"Wednesday",16.25,"Vietnamese","Medium",22
"8",2021-01-21,"Thursday",16.33,"American","Medium",22
"9",2021-01-22,"Friday",18.75,"American","VeryFull",23.75
"10",2021-01-23,"Saturday",17.83,"Japanese","Light",21.22
"11",2021-01-24,"Sunday",16.25,"Vietnamese","Light",21.25
"12",2021-01-25,"Monday",16.33,"Japanese","Medium",21.75
"13",2021-01-26,"Tuesday",17,"Vietnamese","Medium",22
"14",2021-01-27,"Wednesday",16.75,"Korean","Medium",21.67
"15",2021-01-28,"Thursday",17.17,"Japanese","Light",21.17
"16",2021-01-29,"Friday",18.75,"Chinese","Medium",25.75
"17",2021-01-30,"Saturday",19.17,"American","Full",25.5
"18",2021-01-31,"Sunday",18.5,"Italian","Full",24.33
"19",2021-02-01,"Monday",16,"Korean","Light",21.5
"20",2021-02-02,"Tuesday",16,"Vietnamese","Medium",21.42
"21",2021-02-03,"Wednesday",16.33,"Vietnamese","Medium",21.75
"22",2021-02-04,"Thursday",16.75,"Korean","Medium",22
"23",2021-02-05,"Friday",17.5,"Mexican","Full",23.75
"24",2021-02-06,"Saturday",18.25,"Japanese","VeryFull",26.5
"25",2021-02-07,"Sunday",20.5,"Mexican","Light",23.5
"26",2021-02-08,"Monday",17,"American","Medium",21.25
"27",2021-02-09,"Tuesday",16.35,"Brazilian","Full",21.5
"28",2021-02-10,"Wednesday",16,"Brazilian","Medium",22
"29",2021-02-11,"Thursday",16.5,"Italian","Medium",21.75
"30",2021-02-12,"Friday",19,"Chinese","Full",23.5
"31",2021-02-13,"Saturday",19.33,"Indian","Full",22.5
